[RUN #0 10 5]
537 -497 -121 -960 -294 892 217 405 812 -733
-685 598 -666 -525 -54 455 -725 894 969 -35
507 -142 969 968 753 147 -754 -197 -310 11
688 -343 13 -523 366 271 -774 -909 289 -633
-166 485 506 -780 -451 -925 -641 -792 -267 702
[RUN #1 5 5]
-262 625 -147 794 616
328 -419 -981 237 -449
899 407 446 316 -830
726 -644 827 534 147
554 697 -439 -572 -615
[RUN #2 5 50]
-473 -6 -763 -731 396
760 702 941 -596 768
797 707 -53 939 955
724 -55 -626 -15 -723
-221 -550 -192 -591 -923
-294 967 713 -452 41
-592 -30 341 -880 -23
-755 262 -978 605 911
474 -239 582 82 -559
-710 922 624 303 -422
-27 692 87 221 63
-48 -494 767 401 320
309 -807 501 -718 -521
-741 174 840 286 -574
-716 -251 -232 44 564
745 -84 383 166 90
486 531 157 -936 -128
897 448 676 606 -725
-248 402 -176 -226 58
-77 994 -292 -987 876
974 308 -462 -514 -868
-442 655 -715 514 715
86 -755 -880 -666 314
-620 651 -671 -267 747
307 882 -963 79 982
-376 -88 -304 -895 587
415 -186 880 609 898
-877 -560 -208 -971 -358
984 847 -109 708 -299
476 230 -494 -268 934
-792 134 159 431 -413
232 970 -80 237 604
782 601 -340 388 -969
-473 -630 -835 259 201
-276 11 -634 -954 490
-467 -557 698 -777 924
-411 -142 343 169 613
346 841 246 -729 91
512 882 658 573 139
-975 -844 988 -771 -122
705 943 -297 813 -528
276 521 7 884 -605
456 -800 -666 84 -920
671 -812 107 -375 826
645 -678 -558 983 -208
685 -749 349 187 371
-580 598 759 771 374
894 118 -732 -723 -513
-697 583 727 -700 845
401 2 168 -53 863
[RUN #3 5 80]
-159 -238 -501 191 973
98 895 107 973 -612
-59 837 948 -248 -480
-766 -59 -145 483 -150
843 499 -608 968 118
-538 -652 -686 -862 352
666 674 430 -620 -351
-93 922 342 931 -909
-527 677 -466 257 -969
-861 -224 -90 -671 158
-594 -891 577 273 -45
367 207 -699 885 -903
-154 -952 7 25 -455
803 -891 -565 -137 296
-159 -108 -970 -555 674
490 976 352 -816 -231
-432 548 762 -836 901
-304 539 236 -468 -10
529 -151 -670 249 -392
-854 741 -169 330 16
761 235 -524 -126 -984
-82 -417 489 -825 -865
691 351 -633 222 908
-301 147 295 721 769
-812 325 195 -744 -962
971 -600 190 -148 527
-353 210 366 84 -595
612 -732 634 395 -275
291 765 -72 980 911
-379 -542 415 694 749
-640 646 -443 770 154
-156 649 -733 -91 -549
584 153 -194 825 -447
-37 900 851 -537 -793
731 744 340 139 827
-889 -842 -232 88 -950
-575 -318 43 760 94
-336 -810 140 -854 202
